t	kmh
5.1047	307
5.1214	307
5.1380	307
5.1547	307
5.1714	307
5.1880	307
5.2047	307
5.2214	307
5.2380	307
5.2547	307
5.2714	307
5.2880	307
5.3047	307
5.3214	307
5.3380	307
5.3547	307
5.3714	307
5.3880	307
5.4047	307
5.4214	307
5.4380	307
5.4547	307
5.4714	307
5.4880	307
5.5047	307
5.5214	307
5.5380	307
5.5547	307
5.5714	307
5.5880	307
5.6047	307
5.6214	307
5.6380	307
5.6547	307
5.6714	307
5.6880	307
5.7047	307
5.7214	307
5.7380	307
5.7547	307
5.7714	307
5.7880	307
5.8047	307
5.8214	307
5.8380	307
5.8547	307
5.8714	307
5.8880	307
5.9047	307
5.9214	307
5.9380	
5.9547	307
5.9714	307
5.9880	307
6.0047	307
6.0214	307
6.0380	
6.0547	309
6.0714	309
6.0880	309
6.1047	309
6.1214	309
6.1380	
6.1547	309
6.1714	309
6.1880	
6.2047	309
6.2214	
6.2380	
6.2547	
6.2714	
6.2880	
6.3047	
6.3214	
6.3380	
6.3547	
6.3714	
6.3880	
6.4047	
6.4214	
6.4380	
6.4547	
6.4714	
6.4880	
6.5047	
6.5214	
6.5380	
6.5547	
6.5714	
6.5880	
6.6047	
6.6214	
6.6380	
6.6547	
6.6714	
6.6880	
6.7047	
6.7214	
6.7380	
6.7547	
6.7714	
6.7880	
6.8047	
6.8214	
6.8380	
6.8547	309
6.8714	
6.8880	
6.9047	
6.9214	
6.9380	
6.9547	
6.9714	
6.9880	
7.0047	
7.0214	
7.0380	
7.0547	
7.0714	
7.0880	
7.1047	
7.1214	
7.1380	
7.1547	
7.1714	
7.1880	
7.2047	
7.2214	
7.2380	
7.2547	
7.2714	
7.2880	
7.3047	
7.3214	
7.3380	
7.3547	
7.3714	
7.3880	
7.4047	
7.4214	
7.4380	
7.4547	
7.4714	
7.4880	
7.5047	
7.5214	
7.5380	
7.5547	
7.5714	
7.5880	
7.6047	
7.6214	7
7.6380	307
7.6547	
7.6714	
7.6880	
7.7047	
7.7214	
7.7380	
7.7547	
7.7714	
7.7880	
7.8047	
7.8214	
7.8380	
7.8547	
7.8714	
7.8880	
7.9047	
7.9214	
7.9380	
7.9547	307
7.9714	307
7.9880	
8.0047	
8.0214	
8.0380	
8.0547	
8.0714	
8.0880	
8.1047	
8.1214	
8.1380	
8.1547	
8.1714	
8.1880	
8.2047	
8.2214	
8.2380	
8.2547	
8.2714	
8.2880	
8.3047	
8.3214	
8.3380	
8.3547	
8.3714	
8.3880	
8.4047	
8.4214	
8.4380	
8.4547	
8.4714	
8.4880	
8.5047	
8.5214	
8.5380	
8.5547	
8.5714	
8.5880	
8.6047	
8.6214	
8.6380	181
8.6547	178
8.6714	177
8.6880	177
8.7047	177
8.7214	176
8.7380	176
8.7547	176
8.7714	175
8.7880	175
8.8047	175
8.8214	175
8.8380	174
8.8547	174
8.8714	174
8.8880	174
8.9047	174
8.9214	173
8.9380	173
8.9547	173
8.9714	173
8.9880	173
9.0047	173
9.0214	173
9.0380	173
9.0547	173
9.0714	173
9.0880	173
9.1047	173
9.1214	173
9.1380	173
9.1547	173
9.1714	173
9.1880	173
9.2047	173
9.2214	173
9.2380	173
9.2547	173
9.2714	173
9.2880	173
9.3047	173
9.3214	173
9.3380	173
9.3547	
9.3714	
9.3880	
9.4047	
9.4214	
9.4380	
9.4547	
9.4714	172
9.4880	172
9.5047	172
9.5214	172
9.5380	172
9.5547	172
9.5714	173
9.5880	174
9.6047	174
9.6214	
9.6380	
9.6547	
9.6714	
9.6880	
9.7047	
9.7214	
9.7380	
9.7547	
9.7714	
9.7880	
9.8047	
9.8214	
9.8380	
9.8547	
9.8714	
9.8880	
9.9047	
9.9214	186
9.9380	186
9.9547	186
9.9714	186
9.9880	185
10.0047	185
10.0214	184
10.0380	183
10.0547	183
10.0714	182
10.0880	181
10.1047	181
10.1214	180
10.1380	
10.1547	178
10.1714	178
10.1880	178
10.2047	177
10.2214	177
10.2380	177
10.2547	176
10.2714	177
10.2880	177
10.3047	177
10.3214	
10.3380	
10.3547	
10.3714	180
10.3880	180
10.4047	181
10.4214	182
10.4380	182
10.4547	183
10.4714	184
10.4880	184
10.5047	185
10.5214	185
10.5380	186
10.5547	187
10.5714	187
10.5880	188
10.6047	189
10.6214	189
10.6380	180
10.6547	180
10.6714	181
10.6880	182
10.7047	182
10.7214	183
10.7380	183
10.7547	183
10.7714	183
10.7880	183
10.8047	183
10.8214	183
10.8380	183
10.8547	183
10.8714	183
10.8880	182
10.9047	181
10.9214	180
10.9380	189
10.9547	188
10.9714	187
10.9880	186
11.0047	186
11.0214	185
11.0380	185
11.0547	185
11.0714	184
11.0880	184
11.1047	183
11.1214	182
11.1380	181
11.1547	180
11.1714	178
11.1880	178
11.2047	177
11.2214	175
11.2380	173
11.2547	171
11.2714	171
11.2880	176
11.3047	169
11.3214	169
11.3380	169
11.3547	176
11.3714	176
11.3880	176
11.4047	171
11.4214	171
11.4380	171
11.4547	172
11.4714	172
11.4880	173
11.5047	173
11.5214	174
11.5380	175
11.5547	175
11.5714	176
11.5880	176
11.6047	176
11.6214	175
11.6380	174
11.6547	173
11.6714	173
11.6880	172
11.7047	172
11.7214	172
11.7380	173
11.7547	173
11.7714	173
11.7880	174
11.8047	174
11.8214	173
11.8380	172
11.8547	171
11.8714	176
11.8880	169
11.9047	168
11.9214	169
11.9380	169
11.9547	176
11.9714	176
11.9880	176
12.0047	171
12.0214	171
12.0380	172
12.0547	173
12.0714	172
12.0880	172
12.1047	172
12.1214	171
12.1380	176
12.1547	169
12.1714	168
12.1880	167
12.2047	166
12.2214	165
12.2380	165
12.2547	165
12.2714	165
12.2880	166
12.3047	167
12.3214	167
12.3380	168
12.3547	168
12.3714	169
12.3880	169
12.4047	176
12.4214	176
12.4380	171
12.4547	171
12.4714	172
12.4880	172
12.5047	173
12.5214	172
12.5380	172
12.5547	172
12.5714	172
12.5880	173
12.6047	174
12.6214	174
12.6380	174
12.6547	175
12.6714	175
12.6880	176
12.7047	177
12.7214	177
12.7380	177
12.7547	178
12.7714	178
12.7880	178
12.8047	178
12.8214	180
12.8380	180
12.8547	181
12.8714	181
12.8880	182
12.9047	182
12.9214	183
12.9380	183
12.9547	184
12.9714	184
12.9880	184
13.0047	185
13.0214	186
13.0380	186
13.0547	187
13.0714	187
13.0880	188
13.1047	188
13.1214	188
13.1380	189
13.1547	180
13.1714	180
13.1880	180
13.2047	181
13.2214	181
13.2380	182
13.2547	182
13.2714	183
13.2880	183
13.3047	184
13.3214	184
13.3380	185
13.3547	185
13.3714	185
13.3880	185
13.4047	185
13.4214	184
13.4380	183
13.4547	182
13.4714	182
13.4880	182
13.5047	182
13.5214	180
13.5380	189
13.5547	189
13.5714	188
13.5880	188
13.6047	188
13.6214	188
13.6380	188
13.6547	187
13.6714	187
13.6880	187
13.7047	187
13.7214	187
13.7380	187
13.7547	186
13.7714	186
13.7880	185
13.8047	184
13.8214	183
13.8380	183
13.8547	182
13.8714	181
13.8880	181
13.9047	180
13.9214	180
13.9380	178
13.9547	178
13.9714	178
13.9880	177
14.0047	177
14.0214	176
14.0380	175
14.0547	175
14.0714	174
14.0880	174
14.1047	174
14.1214	173
14.1380	173
14.1547	172
14.1714	172
14.1880	171
14.2047	171
14.2214	176
14.2380	176
14.2547	169
14.2714	169
14.2880	169
14.3047	168
14.3214	168
14.3380	168
14.3547	168
14.3714	167
14.3880	167
14.4047	167
14.4214	166
14.4380	166
14.4547	166
14.4714	166
14.4880	165
14.5047	165
14.5214	165
14.5380	165
14.5547	165
14.5714	165
14.5880	165
14.6047	165
14.6214	164
14.6380	164
14.6547	164
14.6714	164
14.6880	164
14.7047	164
14.7214	164
14.7380	164
14.7547	164
14.7714	164
14.7880	164
14.8047	164
14.8214	164
14.8380	164
14.8547	164
14.8714	165
14.8880	165
14.9047	165
14.9214	165
14.9380	165
14.9547	165
14.9714	166
14.9880	166
15.0047	166
15.0214	166
15.0380	166
15.0547	167
15.0714	167
15.0880	167
15.1047	167
15.1214	168
15.1380	168
15.1547	169
15.1714	169
15.1880	169
15.2047	176
15.2214	176
15.2380	176
15.2547	171
15.2714	171
15.2880	172
15.3047	172
15.3214	173
15.3380	173
15.3547	173
15.3714	176
15.3880	176
15.4047	176
15.4214	176
15.4380	176
15.4547	176
15.4714	169
15.4880	168
15.5047	168
15.5214	168
15.5380	169
15.5547	169
15.5714	168
15.5880	167
15.6047	167
15.6214	168
15.6380	168
15.6547	168
15.6714	168
15.6880	168
15.7047	169
15.7214	169
15.7380	169
15.7547	169
15.7714	169
15.7880	176
15.8047	171
15.8214	172
15.8380	173
15.8547	173
15.8714	174
15.8880	174
15.9047	175
15.9214	176
15.9380	176
15.9547	177
15.9714	177
15.9880	178
16.0047	178
16.0214	178
16.0380	178
16.0547	178
16.0714	178
16.0880	180
16.1047	180
16.1214	181
16.1380	182
16.1547	183
16.1714	183
16.1880	183
16.2047	184
16.2214	184
16.2380	185
16.2547	186
16.2714	186
16.2880	187
16.3047	187
16.3214	188
16.3380	188
16.3547	189
16.3714	180
16.3880	180
16.4047	181
16.4214	182
16.4380	182
16.4547	183
16.4714	183
16.4880	184
16.5047	185
16.5214	185
16.5380	196
16.5547	196
16.5714	196
16.5880	197
16.6047	197
16.6214	197
16.6380	198
16.6547	198
16.6714	198
16.6880	188
16.7047	189
16.7214	
16.7380	
16.7547	
16.7714	189
16.7880	189
16.8047	200
16.8214	200
16.8380	200
16.8547	200
16.8714	
16.8880	
16.9047	207
16.9214	209
16.9380	204
16.9547	209
16.9714	207
16.9880	209
17.0047	212
17.0214	214
17.0380	218
17.0547	220
17.0714	227
17.0880	224
17.1047	
17.1214	
17.1380	230
17.1547	
17.1714	
17.1880	239
17.2047	230
17.2214	239
17.2380	247
17.2547	249
17.2714	
17.2880	247
17.3047	249
17.3214	259
17.3380	259
17.3547	254
17.3714	250
17.3880	258
17.4047	259
17.4214	
17.4380	
17.4547	255
17.4714	
17.4880	
17.5047	270
17.5214	272
17.5380	274
17.5547	275
17.5714	276
17.5880	278
17.6047	280
17.6214	282
17.6380	289
17.6547	284
17.6714	285
17.6880	285
17.7047	285
17.7214	284
17.7380	289
17.7547	289
17.7714	
17.7880	280
17.8047	279
17.8214	278
17.8380	276
17.8547	276
17.8714	274
17.8880	272
17.9047	271
17.9214	270
17.9380	269
17.9547	267
17.9714	269
17.9880	269
18.0047	269
18.0214	262
18.0380	260
18.0547	259
18.0714	259
18.0880	250
18.1047	250
18.1214	254
18.1380	259
18.1547	252
18.1714	251
18.1880	250
18.2047	249
18.2214	247
18.2380	249
18.2547	249
18.2714	244
18.2880	249
18.3047	242
18.3214	
18.3380	240
18.3547	
18.3714	
18.3880	
18.4047	
18.4214	
18.4380	
18.4547	232
18.4714	
18.4880	230
18.5047	229
18.5214	229
18.5380	227
18.5547	220
18.5714	225
18.5880	224
18.6047	229
18.6214	222
18.6380	221
18.6547	220
18.6714	219
18.6880	219
18.7047	218
18.7214	216
18.7380	216
18.7547	214
18.7714	214
18.7880	213
18.8047	212
18.8214	211
18.8380	210
18.8547	209
18.8714	209
18.8880	209
18.9047	207
18.9214	209
18.9380	209
18.9547	209
18.9714	209
18.9880	209
19.0047	202
19.0214	
19.0380	207
19.0547	200
19.0714	189
19.0880	188
19.1047	188
19.1214	187
19.1380	186
19.1547	185
19.1714	185
19.1880	184
19.2047	183
19.2214	183
19.2380	182
19.2547	180
19.2714	186
19.2880	182
19.3047	176
19.3214	171
19.3380	166
19.3547	163
19.3714	160
19.3880	158
19.4047	156
19.4214	155
19.4380	154
19.4547	154
19.4714	153
19.4880	152
19.5047	152
19.5214	
19.5380	
19.5547	150
19.5714	150
19.5880	149
19.6047	149
19.6214	148
19.6380	148
19.6547	148
19.6714	147
19.6880	147
19.7047	147
19.7214	146
19.7380	146
19.7547	145
19.7714	145
19.7880	145
19.8047	145
19.8214	144
19.8380	144
19.8547	144
19.8714	144
19.8880	143
19.9047	143
19.9214	143
19.9380	143
19.9547	143
19.9714	143
19.9880	143
20.0047	143
20.0214	143
20.0380	142
20.0547	142
20.0714	142
20.0880	142
20.1047	142
20.1214	142
20.1380	143
20.1547	143
20.1714	143
20.1880	143
20.2047	143
20.2214	143
20.2380	143
20.2547	143
20.2714	143
20.2880	144
20.3047	144
20.3214	144
20.3380	144
20.3547	144
20.3714	145
20.3880	145
20.4047	145
20.4214	146
20.4380	146
20.4547	146
20.4714	147
20.4880	147
20.5047	147
20.5214	148
20.5380	148
20.5547	149
20.5714	149
20.5880	150
20.6047	150
20.6214	150
20.6380	151
20.6547	151
20.6714	152
20.6880	152
20.7047	153
20.7214	153
20.7380	154
20.7547	153
20.7714	150
20.7880	147
20.8047	143
20.8214	141
20.8380	138
20.8547	137
20.8714	137
20.8880	137
20.9047	136
20.9214	136
20.9380	136
20.9547	136
20.9714	135
20.9880	135
21.0047	135
21.0214	135
21.0380	135
21.0547	135
21.0714	135
21.0880	135
21.1047	135
21.1214	135
21.1380	135
21.1547	135
21.1714	135
21.1880	135
21.2047	135
21.2214	135
21.2380	135
21.2547	136
21.2714	136
21.2880	136
21.3047	136
21.3214	136
21.3380	136
21.3547	136
21.3714	136
21.3880	136
21.4047	136
21.4214	136
21.4380	136
21.4547	136
21.4714	136
21.4880	136
21.5047	136
21.5214	136
21.5380	136
21.5547	136
21.5714	136
21.5880	136
21.6047	136
21.6214	136
21.6380	136
21.6547	136
21.6714	136
21.6880	136
21.7047	136
21.7214	136
21.7380	136
21.7547	136
21.7714	136
21.7880	136
21.8047	137
21.8214	136
21.8380	136
21.8547	137
21.8714	136
21.8880	136
21.9047	137
21.9214	136
21.9380	137
21.9547	
21.9714	137
21.9880	137
22.0047	137
22.0214	137
22.0380	137
22.0547	137
22.0714	137
22.0880	137
22.1047	137
22.1214	137
22.1380	
22.1547	
22.1714	
22.1880	
22.2047	
22.2214	
22.2380	137
22.2547	137
22.2714	137
22.2880	137
22.3047	137
22.3214	137
22.3380	137
22.3547	137
22.3714	137
22.3880	
22.4047	137
22.4214	137
22.4380	
22.4547	137
22.4714	137
22.4880	137
22.5047	138
22.5214	138
22.5380	138
22.5547	138
22.5714	138
22.5880	138
22.6047	138
22.6214	138
22.6380	139
22.6547	139
22.6714	139
22.6880	139
22.7047	139
22.7214	139
22.7380	139
22.7547	139
22.7714	139
22.7880	139
22.8047	139
22.8214	140
22.8380	140
22.8547	140
22.8714	140
22.8880	140
22.9047	140
22.9214	140
22.9380	140
22.9547	141
22.9714	141
22.9880	141
23.0047	141
23.0214	141
23.0380	142
23.0547	142
23.0714	142
23.0880	142
23.1047	142
23.1214	143
23.1380	143
23.1547	143
23.1714	143
23.1880	143
23.2047	144
23.2214	144
23.2380	144
23.2547	144
23.2714	144
23.2880	145
23.3047	145
23.3214	145
23.3380	146
23.3547	146
23.3714	147
23.3880	147
23.4047	147
23.4214	148
23.4380	148
23.4547	149
23.4714	149
23.4880	150
23.5047	150
23.5214	151
23.5380	151
23.5547	152
23.5714	152
23.5880	153
23.6047	153
23.6214	153
23.6380	154
23.6547	154
23.6714	155
23.6880	155
23.7047	155
23.7214	156
23.7380	156
23.7547	156
23.7714	157
23.7880	157
23.8047	157
23.8214	157
23.8380	158
23.8547	158
23.8714	158
23.8880	158
23.9047	158
23.9214	158
23.9380	158
23.9547	158
23.9714	158
23.9880	158
24.0047	158
24.0214	158
24.0380	158
24.0547	158
24.0714	158
24.0880	158
24.1047	158
24.1214	158
24.1380	157
24.1547	157
24.1714	157
24.1880	157
24.2047	157
24.2214	157
24.2380	157
24.2547	157
24.2714	156
24.2880	156
24.3047	156
24.3214	156
24.3380	155
24.3547	155
24.3714	155
24.3880	154
24.4047	153
24.4214	152
24.4380	152
24.4547	151
24.4714	151
24.4880	150
24.5047	149
24.5214	149
24.5380	148
24.5547	148
24.5714	147
24.5880	146
24.6047	146
24.6214	146
24.6380	145
24.6547	145
24.6714	144
24.6880	144
24.7047	143
24.7214	143
24.7380	143
24.7547	142
24.7714	142
24.7880	141
24.8047	141
24.8214	141
24.8380	140
24.8547	140
24.8714	140
24.8880	140
24.9047	139
24.9214	139
24.9380	139
24.9547	139
24.9714	139
24.9880	138
25.0047	138
25.0214	138
25.0380	138
25.0547	138
25.0714	138
25.0880	138
25.1047	138
25.1214	138
25.1380	138
25.1547	138
25.1714	138
25.1880	138
25.2047	138
25.2214	138
25.2380	138
25.2547	138
25.2714	138
25.2880	138
25.3047	139
25.3214	139
25.3380	139
25.3547	139
25.3714	139
25.3880	139
25.4047	140
25.4214	140
25.4380	140
25.4547	140
25.4714	141
25.4880	141
25.5047	141
25.5214	140
25.5380	139
25.5547	138
25.5714	138
25.5880	139
25.6047	140
25.6214	140
25.6380	141
25.6547	141
25.6714	142
25.6880	143
25.7047	143
25.7214	144
25.7380	145
25.7547	146
25.7714	146
25.7880	147
25.8047	148
25.8214	148
25.8380	149
25.8547	149
25.8714	150
25.8880	151
25.9047	151
25.9214	152
25.9380	152
25.9547	153
25.9714	154
25.9880	154
26.0047	155
26.0214	156
26.0380	156
26.0547	157
26.0714	158
26.0880	159
26.1047	159
26.1214	160
26.1380	161
26.1547	161
26.1714	162
26.1880	162
26.2047	162
26.2214	162
26.2380	162
26.2547	162
26.2714	162
26.2880	162
26.3047	162
26.3214	162
26.3380	162
26.3547	162
26.3714	162
26.3880	163
26.4047	164
26.4214	164
26.4380	165
26.4547	165
26.4714	166
26.4880	
26.5047	
26.5214	
26.5380	
26.5547	
26.5714	
26.5880	176
26.6047	176
26.6214	171
26.6380	171
26.6547	
26.6714	
26.6880	
26.7047	
26.7214	
26.7380	
26.7547	
26.7714	
26.7880	
26.8047	176
26.8214	176
26.8380	177
26.8547	178
26.8714	178
26.8880	178
26.9047	178
26.9214	178
26.9380	180
26.9547	180
26.9714	181
26.9880	181
27.0047	181
27.0214	182
27.0380	182
27.0547	183
27.0714	183
27.0880	183
27.1047	183
27.1214	183
27.1380	183
27.1547	183
27.1714	183
27.1880	183
27.2047	183
27.2214	
27.2380	
27.2547	
27.2714	
27.2880	183
27.3047	183
27.3214	183
27.3380	184
27.3547	184
27.3714	184
27.3880	184
27.4047	184
27.4214	184
27.4380	185
27.4547	
27.4714	
27.4880	
27.5047	
27.5214	
27.5380	
27.5547	
27.5714	
27.5880	
27.6047	
27.6214	
27.6380	
27.6547	186
27.6714	181
27.6880	178
27.7047	176
27.7214	176
27.7380	175
27.7547	175
27.7714	174
27.7880	174
27.8047	174
27.8214	174
27.8380	174
27.8547	174
27.8714	175
27.8880	
27.9047	
27.9214	
27.9380	
27.9547	176
27.9714	176
27.9880	176
28.0047	176
28.0214	177
28.0380	177
28.0547	177
28.0714	177
28.0880	177
28.1047	177
28.1214	178
28.1380	178
28.1547	178
28.1714	178
28.1880	178
28.2047	178
28.2214	
28.2380	178
28.2547	178
28.2714	178
28.2880	
28.3047	178
28.3214	180
28.3380	180
28.3547	180
28.3714	180
28.3880	180
28.4047	180
28.4214	180
28.4380	178
28.4547	178
28.4714	176
28.4880	175
28.5047	173
28.5214	171
28.5380	169
28.5547	166
28.5714	165
28.5880	163
28.6047	161
28.6214	159
28.6380	157
28.6547	156
28.6714	154
28.6880	152
28.7047	151
28.7214	148
28.7380	147
28.7547	145
28.7714	144
28.7880	143
28.8047	141
28.8214	141
28.8380	140
28.8547	140
28.8714	140
28.8880	140
28.9047	140
28.9214	140
28.9380	140
28.9547	140
28.9714	139
28.9880	139
29.0047	139
29.0214	138
29.0380	138
29.0547	137
29.0714	134
29.0880	131
29.1047	130
29.1214	129
29.1380	128
29.1547	127
29.1714	126
29.1880	125
29.2047	125
29.2214	123
29.2380	123
29.2547	122
29.2714	122
29.2880	122
29.3047	122
29.3214	123
29.3380	124
29.3547	126
29.3714	127
29.3880	127
29.4047	127
29.4214	127
29.4380	128
29.4547	128
29.4714	128
29.4880	129
29.5047	129
29.5214	129
29.5380	129
29.5547	129
29.5714	129
29.5880	130
29.6047	131
29.6214	131
29.6380	132
29.6547	132
29.6714	133
29.6880	134
29.7047	134
29.7214	135
29.7380	135
29.7547	136
29.7714	137
29.7880	137
29.8047	138
29.8214	138
29.8380	139
29.8547	140
29.8714	140
29.8880	141
29.9047	142
29.9214	142
29.9380	143
29.9547	144
29.9714	144
29.9880	145
30.0047	145
30.0214	146
30.0380	147
30.0547	148
30.0714	148
30.0880	149
30.1047	
30.1214	151
30.1380	151
30.1547	152
30.1714	153
30.1880	153
30.2047	154
30.2214	155
30.2380	155
30.2547	156
30.2714	156
30.2880	156
30.3047	157
30.3214	157
30.3380	158
30.3547	159
30.3714	159
30.3880	159
30.4047	159
30.4214	159
30.4380	160
30.4547	160
30.4714	160
30.4880	160
30.5047	161
30.5214	161
30.5380	161
30.5547	161
30.5714	161
30.5880	162
30.6047	162
30.6214	161
30.6380	161
30.6547	161
30.6714	160
30.6880	160
30.7047	160
30.7214	159
30.7380	159
30.7547	159
30.7714	158
30.7880	158
30.8047	158
30.8214	158
30.8380	158
30.8547	158
30.8714	158
30.8880	158
30.9047	157
30.9214	157
30.9380	157
30.9547	157
30.9714	157
30.9880	156
31.0047	156
31.0214	156
31.0380	156
31.0547	155
31.0714	155
31.0880	155
31.1047	155
31.1214	154
31.1380	154
31.1547	154
31.1714	154
31.1880	153
31.2047	153
31.2214	152
31.2380	152
31.2547	151
31.2714	151
31.2880	150
31.3047	150
31.3214	149
31.3380	149
31.3547	148
31.3714	148
31.3880	147
31.4047	147
31.4214	146
31.4380	146
31.4547	145
31.4714	145
31.4880	145
31.5047	144
31.5214	144
31.5380	143
31.5547	143
31.5714	143
31.5880	143
31.6047	142
31.6214	142
31.6380	142
31.6547	142
31.6714	141
31.6880	141
31.7047	141
31.7214	141
31.7380	141
31.7547	140
31.7714	140
31.7880	140
31.8047	140
31.8214	140
31.8380	140
31.8547	140
31.8714	140
31.8880	140
31.9047	140
31.9214	140
31.9380	140
31.9547	140
31.9714	140
31.9880	140
32.0047	140
32.0214	141
32.0380	141
32.0547	141
32.0714	141
32.0880	141
32.1047	141
32.1214	142
32.1380	142
32.1547	142
32.1714	142
32.1880	143
32.2047	143
32.2214	143
32.2380	144
32.2547	137
32.2714	
32.2880	
32.3047	79
32.3214	72
32.3380	71
32.3547	71
32.3714	70
32.3880	70
32.4047	70
32.4214	70
32.4380	
32.4547	
32.4714	70
32.4880	70
32.5047	
32.5214	
32.5380	
32.5547	
32.5714	
32.5880	
32.6047	
32.6214	
32.6380	
32.6547	
32.6714	
32.6880	
32.7047	
32.7214	
32.7380	
32.7547	
32.7714	
32.7880	
32.8047	
32.8214	
32.8380	
32.8547	
32.8714	
32.8880	
32.9047	
32.9214	
32.9380	
32.9547	
32.9714	
32.9880	
33.0047	
33.0214	
33.0380	
33.0547	70
33.0714	71
33.0880	72
33.1047	72
33.1214	79
33.1380	74
33.1547	74
33.1714	75
33.1880	70
33.2047	77
33.2214	78
33.2380	78
33.2547	
33.2714	
33.2880	
33.3047	92
33.3214	
33.3380	
33.3547	
33.3714	
33.3880	
33.4047	
33.4214	
33.4380	99
33.4547	
33.4714	
33.4880	
33.5047	
33.5214	
33.5380	
33.5547	
33.5714	
33.5880	
33.6047	
33.6214	
33.6380	160
33.6547	160
33.6714	161
33.6880	161
33.7047	162
33.7214	162
33.7380	162
33.7547	161
33.7714	161
33.7880	161
33.8047	161
33.8214	160
33.8380	160
33.8547	
33.8714	
33.8880	
33.9047	
33.9214	
33.9380	
33.9547	
33.9714	
33.9880	
34.0047	
34.0214	
34.0380	
34.0547	
34.0714	
34.0880	
34.1047	94
34.1214	94
34.1380	
34.1547	
34.1714	
34.1880	
34.2047	
34.2214	94
34.2380	
34.2547	
34.2714	
34.2880	
34.3047	
34.3214	
34.3380	
34.3547	
34.3714	
34.3880	
34.4047	
34.4214	
34.4380	
34.4547	
34.4714	97
34.4880	
34.5047	
34.5214	
